class_id,position,question,answer_md,status
_directory,1,What is a medicine or drug class?,"A medicine class is a group of medicines considered together because they share a therapeutic use, a clinical purpose, or a similar way of acting in the body. It is a way of organising a large catalogue so it is easier to browse.",draft
_directory,2,Can two medicines from the same class be used interchangeably?,"Not necessarily. Medicines in the same class can differ in composition, strength and suitability. Only your doctor or pharmacist can decide whether one medicine may be used in place of another.",draft
_directory,3,How can I find a medicine class?,"Use the search field at the top of this page, or pick a letter in the A–Z filter and open the class from the alphabetical list.",draft
_directory,4,Do all medicines in a class have the same composition?,"No. A class may contain several different active ingredients, and the same ingredient may be available in different strengths and dosage forms.",draft
_directory,5,Do I need a prescription to purchase these medicines?,"Many medicines listed under these classes are prescription-only. Where a prescription is required, you will be asked to upload a valid prescription before the order is confirmed.",draft
_directory,6,Can I change my medicine without consulting a doctor?,"No. Do not start, stop, substitute or change the dose of a prescribed medicine without advice from a qualified healthcare professional.",draft
anti-allergic-medicines,1,Will these make me drowsy?,Some do. Older antihistamines are more likely to cause drowsiness than newer ones. Check the pack and ask your pharmacist if you drive.,draft
anti-allergic-medicines,2,Can I take one every day?,Some are intended for regular use during an allergy season and some are not. Follow your doctor's advice.,draft
anti-allergic-medicines,3,Do these treat the allergy itself?,No. They are used in the management of symptoms. Avoiding a known trigger is the more effective step where it is possible.,draft
anti-allergic-medicines,4,Can children take these?,Some preparations have paediatric forms and doses. Never use an adult dose for a child – ask a doctor or pharmacist.,draft
anti-allergic-medicines,5,Do I need a prescription for these medicines?,"Many medicines in this class are prescription-only. Where a prescription is required, you will be asked to upload a valid prescription before the order is confirmed.",draft
anti-allergic-medicines,6,Can two medicines from this class be used interchangeably?,"Not necessarily. Medicines in the same class can differ in composition, strength and suitability. Only your doctor or pharmacist can decide whether one may be used in place of another.",draft
anti-diabetic-medicines,1,What are anti-diabetic medicines used for?,"They are used in the management of diabetes, as advised by a doctor. The choice depends on the type of diabetes, blood sugar readings, other health conditions and the person's overall treatment plan.",draft
anti-diabetic-medicines,2,Are all medicines in this class the same?,"No. The class includes biguanides, sulfonylureas, DPP-4 inhibitors, SGLT2 inhibitors, GLP-1 receptor agonists, insulins and fixed-dose combinations. They differ in composition, strength, dosage form and suitability.",draft
anti-diabetic-medicines,3,Can I switch to a cheaper substitute in the same class?,"Only if your doctor or pharmacist advises it. A substitute may contain a different active ingredient or strength, so it is not automatically an equivalent.",draft
anti-diabetic-medicines,4,How should these medicines be stored?,"Follow the storage instructions on the pack. Most tablets are kept below 25°C away from moisture, while insulins and some injectables need refrigeration – check the label and ask your pharmacist.",draft
anti-diabetic-medicines,5,Do I need a prescription for these medicines?,"Many medicines in this class are prescription-only. Where a prescription is required, you will be asked to upload a valid prescription before the order is confirmed.",draft
anti-diabetic-medicines,6,Can two medicines from this class be used interchangeably?,"Not necessarily. Medicines in the same class can differ in composition, strength and suitability. Only your doctor or pharmacist can decide whether one may be used in place of another.",draft
antibiotics,1,Will an antibiotic help with a cold or flu?,"No. Colds and flu are viral, and antibiotics act only on bacteria. Your doctor will advise whether an antibiotic is appropriate.",draft
antibiotics,2,Should I finish the course even if I feel better?,Follow the course exactly as prescribed. Stopping early can allow the infection to return and contributes to antibiotic resistance.,draft
antibiotics,3,Can I use an antibiotic left over from last time?,"No. The medicine, dose and duration are chosen for a specific infection, and leftover antibiotics may be wrong, expired, or an insufficient quantity.",draft
antibiotics,4,What should I tell my doctor before starting?,"Any previous reaction or allergy to an antibiotic, any other medicines you take, and whether you are pregnant or breastfeeding.",draft
antibiotics,5,Do I need a prescription for these medicines?,"Many medicines in this class are prescription-only. Where a prescription is required, you will be asked to upload a valid prescription before the order is confirmed.",draft
antibiotics,6,Can two medicines from this class be used interchangeably?,"Not necessarily. Medicines in the same class can differ in composition, strength and suitability. Only your doctor or pharmacist can decide whether one may be used in place of another.",draft
antifungal-medicines,1,Why is the course so long?,"Fungal infections clear slowly, particularly in nails and on the scalp. Courses are set to run past the point where the skin looks normal.",draft
antifungal-medicines,2,Can I stop when the skin looks better?,No. Stopping early is the most common reason a fungal infection returns.,draft
antifungal-medicines,3,Are creams as effective as tablets?,It depends on where the infection is and how deep. Your doctor will choose the appropriate form.,draft
antifungal-medicines,4,Can I use an antifungal on any rash?,"No. Not every rash is fungal, and an antifungal can worsen some conditions. Have it assessed.",draft
antifungal-medicines,5,Do I need a prescription for these medicines?,"Many medicines in this class are prescription-only. Where a prescription is required, you will be asked to upload a valid prescription before the order is confirmed.",draft
antifungal-medicines,6,Can two medicines from this class be used interchangeably?,"Not necessarily. Medicines in the same class can differ in composition, strength and suitability. Only your doctor or pharmacist can decide whether one may be used in place of another.",draft
antiviral-medicines,1,Do antivirals work on any virus?,No. Each acts on specific viruses. They have no effect on common colds.,draft
antiviral-medicines,2,Why does consistency matter so much?,"For long-term antiviral treatment, missed doses can allow the virus to become resistant. Take doses as prescribed.",draft
antiviral-medicines,3,Can I stop when I feel well?,"No. Treatment length is set by your doctor, and feeling well does not mean treatment is complete.",draft
antiviral-medicines,4,Do these need monitoring?,Usually yes. Blood tests check both the response and how well the medicine is tolerated.,draft
antiviral-medicines,5,Do I need a prescription for these medicines?,"Many medicines in this class are prescription-only. Where a prescription is required, you will be asked to upload a valid prescription before the order is confirmed.",draft
