class_id,meta_title,meta_description,intro_md,about_heading,about_md,subclass_heading,subclass_md,prescription_heading,prescription_md,safety_bullets_md,reviewer_name,reviewer_credentials,reviewer_profile_url,medically_reviewed_on,content_last_updated,canonical_override,noindex,content_status
_directory,Medicines by Class - Browse All Drug Classes | PharmEasy,"Browse medicines by their therapeutic or drug class. Select a class to explore related medicines, their uses and important information.","Browse medicines by their therapeutic or drug class. Select a class to explore related medicines, their uses and important information.",What Are Medicine Classes?,"A medicine class is a group of medicines that are considered together for a practical reason – they may be used for a similar therapeutic purpose, they may be prescribed for a similar clinical situation, or they may act on the body in a similar way. Grouping medicines this way makes a large catalogue easier to navigate: instead of remembering one brand name, you can start from the area of health you are looking at.

Classes are a browsing aid on this page. They are not a recommendation, and a class page does not tell you which medicine is suitable for you.",Why Medicines in the Same Class Can Be Different,"Two medicines can sit in the same class and still not be alternatives to each other. They may differ in composition, strength, dosage form, suitability and prescription requirement.",How to Browse Medicines by Class,"1. **Find the class** – Search by name, or jump to a letter in the A–Z filter.
2. **Open the class page** – See the medicines listed under it, with pack size, composition and price.
3. **Check the details** – Read the information provided and confirm with your doctor before ordering.","**Do not self-medicate.** Use medicines only as advised by a qualified doctor.
**Check the strength and dosage form** on your prescription before ordering.
**Tell your doctor about allergies** and about every other medicine or supplement you take.
**Do not stop a prescribed medicine** without medical advice, even if you feel better.",,Reviewed by medical experts,,2026-07-24,2026-07-24,,FALSE,draft
anti-allergic-medicines,Anti-allergic Medicines - Buy Online at Best Price | PharmEasy,"Browse 41 anti-allergic medicines on PharmEasy. Medicines used for allergy-related symptoms. Compare packs, compositions and prices. 100% genuine medicines.","Medicines used in the management of allergy symptoms such as sneezing, itching, rash and watery eyes.",About Anti-allergic Medicines,"Anti-allergic medicines are used in the management of allergic symptoms. Older antihistamines are more likely to cause drowsiness; newer ones are usually less sedating, which is why the choice depends on when and how you need to take them.

If you know what triggers your symptoms, avoiding the trigger does more than any medicine. Antihistamines manage symptoms; they do not change the underlying allergy.",,,Prescription and dosage,"Medicines in this class are prescription-only unless the pack states otherwise. Always order the exact strength and dosage form written on your prescription, and continue any monitoring your doctor has advised.","Some antihistamines cause drowsiness – check before driving or operating machinery.
**Do not self-medicate.** Use medicines only as advised by a qualified doctor.
**Check the strength and dosage form** on your prescription before ordering.
**Tell your doctor about allergies** and about every other medicine or supplement you take.
**Do not stop a prescribed medicine** without medical advice, even if you feel better.",,,,2026-07-24,2026-07-24,,FALSE,draft
anti-diabetic-medicines,Anti-diabetic Medicines - Buy Online at Best Price | PharmEasy,"Browse 128 anti-diabetic medicines on PharmEasy. Medicines used in the management of diabetes. Compare packs, compositions and prices. 100% genuine medicines.","Medicines used in the management of diabetes. This class covers several groups that work in different ways – a doctor decides which one, and which strength, is appropriate for a person.",About Anti-diabetic Medicines,"Anti-diabetic medicines are used in the management of diabetes as part of a treatment plan decided by a doctor. Different groups within the class act in different ways – some support the body's own insulin response, some change how glucose is handled by the kidneys, and insulins replace or supplement insulin directly.

Most anti-diabetic products sold in India are fixed-dose combinations, so two packs with similar names can contain different molecules at different strengths. Always match the pack to the prescription rather than to the brand name you remember.",Sub-classes you will find here,"Within this class you will find Combinations, Biguanides, Alpha-glucosidase inhibitors, Sulfonylureas, Thiazolidinediones, DPP-4 inhibitors, Diabetic Neuropathy, Meglitinides, SGLT2 inhibitors, GLP-1 receptor agonists and Insulins. Two medicines from different sub-classes are not alternatives to each other.",Prescription and dosage,"Medicines in this class are prescription-only unless the pack states otherwise. Always order the exact strength and dosage form written on your prescription, and continue any monitoring your doctor has advised.","Keep meals, activity and blood sugar monitoring consistent with your doctor's advice, and tell them about any kidney or liver condition.
**Do not self-medicate.** Use medicines only as advised by a qualified doctor.
**Check the strength and dosage form** on your prescription before ordering.
**Tell your doctor about allergies** and about every other medicine or supplement you take.
**Do not stop a prescribed medicine** without medical advice, even if you feel better.",,,,2026-07-24,2026-07-24,,FALSE,draft
antibiotics,Antibiotics - Buy Online at Best Price | PharmEasy,"Browse 73 antibiotics on PharmEasy. Medicines used for certain bacterial infections. Compare packs, compositions and prices. 100% genuine medicines.",Medicines used in the management of bacterial infections. Antibiotics have no effect on viral illnesses such as colds and most sore throats.,About Antibiotics,"Antibiotics are used for infections caused by bacteria. Different groups target different organisms, which is why the choice, dose and duration depend on the site and type of infection rather than on how unwell a person feels.

Completing the prescribed course matters even after symptoms settle. Stopping early, or keeping leftover antibiotics for a future illness, contributes to antibiotic resistance.",Sub-classes you will find here,"Within this class you will find Penicillins, Antiseptic, Combinations, Cephalosporins, Fluoroquinolones, Topical Antibiotic, Macrolides, Otic Antimicrobial, Topical Anti-Microbial and Carbapenems. Two medicines from different sub-classes are not alternatives to each other.",Prescription and dosage,"Medicines in this class are prescription-only unless the pack states otherwise. Always order the exact strength and dosage form written on your prescription, and continue any monitoring your doctor has advised.","Never use antibiotics left over from a previous illness, and never share them. Tell your doctor about any previous reaction to an antibiotic.
**Do not self-medicate.** Use medicines only as advised by a qualified doctor.
**Check the strength and dosage form** on your prescription before ordering.
**Tell your doctor about allergies** and about every other medicine or supplement you take.
**Do not stop a prescribed medicine** without medical advice, even if you feel better.",,,,2026-07-24,2026-07-24,,FALSE,draft
antifungal-medicines,Antifungal Medicines - Buy Online at Best Price | PharmEasy,"Browse 15 antifungal medicines on PharmEasy. Medicines used for fungal infections. Compare packs, compositions and prices. 100% genuine medicines.","Medicines used in the management of fungal infections of the skin, nails and elsewhere, applied topically or taken by mouth.",About Antifungal Medicines,"Antifungal medicines are used for infections caused by fungi. Courses are typically longer than for bacterial infections, particularly for nail and scalp infections.

Fungal infections commonly return when treatment stops as soon as the skin looks normal. The course is usually set to run past the point where the appearance improves.",Sub-classes you will find here,Within this class you will find Topical Anti-Fungal and Steroid and Topical Anti-Fungal. Two medicines from different sub-classes are not alternatives to each other.,Prescription and dosage,"Medicines in this class are prescription-only unless the pack states otherwise. Always order the exact strength and dosage form written on your prescription, and continue any monitoring your doctor has advised.","Complete the full course even after the appearance improves, or the infection commonly returns.
**Do not self-medicate.** Use medicines only as advised by a qualified doctor.
**Check the strength and dosage form** on your prescription before ordering.
**Tell your doctor about allergies** and about every other medicine or supplement you take.
**Do not stop a prescribed medicine** without medical advice, even if you feel better.",,,,2026-07-24,2026-07-24,,FALSE,draft
antiviral-medicines,Antiviral Medicines - Buy Online at Best Price | PharmEasy,"Browse 8 antiviral medicines on PharmEasy. Medicines used for certain viral infections. Compare packs, compositions and prices. 100% genuine medicines.","Medicines used in the management of specific viral infections, including hepatitis B and HIV.",About Antiviral Medicines,"Antiviral medicines act on specific viruses. They are targeted to the infection being managed and, for long-term conditions, depend heavily on doses being taken consistently.

For long-term antiviral treatment, consistency is the main thing that determines whether it works. Missed doses can allow resistance to develop.",Sub-classes you will find here,Within this class you will find Hepatitis B and Anti-Retroviral. Two medicines from different sub-classes are not alternatives to each other.,Prescription and dosage,"Medicines in this class are prescription-only unless the pack states otherwise. Always order the exact strength and dosage form written on your prescription, and continue any monitoring your doctor has advised.","Take doses consistently – missed doses can allow resistance to develop. Do not stop without medical advice.
**Do not self-medicate.** Use medicines only as advised by a qualified doctor.
**Check the strength and dosage form** on your prescription before ordering.
**Tell your doctor about allergies** and about every other medicine or supplement you take.
**Do not stop a prescribed medicine** without medical advice, even if you feel better.",,,,2026-07-24,2026-07-24,,FALSE,draft
blood-pressure-medicines,Blood Pressure Medicines - Buy Online at Best Price | PharmEasy,"Browse 123 blood pressure medicines on PharmEasy. Medicines used to manage high or low blood pressure. Compare packs, compositions and prices. 100% genuine me","Medicines used in the management of blood pressure. Several groups act on different parts of the circulation, and many packs combine two of them.",About Blood Pressure Medicines,"Blood pressure medicines are used in the management of hypertension and related conditions. Groups within the class act differently – some relax blood vessels, some reduce the heart's workload, and some help the body remove excess fluid and salt.

Blood pressure medicines are usually taken long term, and readings can look normal precisely because the medicine is working. A normal reading is not a reason to stop.",Sub-classes you will find here,"Within this class you will find Calcium channel blockers, Angiotensin receptor blockers, Beta blockers, Combinations, Alpha blockers, Diuretic combinations, ACE inhibitors, Anti-Hypertensive and Anti-Hypotensive. Two medicines from different sub-classes are not alternatives to each other.",Prescription and dosage,"Medicines in this class are prescription-only unless the pack states otherwise. Always order the exact strength and dosage form written on your prescription, and continue any monitoring your doctor has advised.","Do not stop or change the dose on your own, and tell your doctor if you feel dizzy on standing.
**Do not self-medicate.** Use medicines only as advised by a qualified doctor.
**Check the strength and dosage form** on your prescription before ordering.
**Tell your doctor about allergies** and about every other medicine or supplement you take.
**Do not stop a prescribed medicine** without medical advice, even if you feel better.",,,,2026-07-24,2026-07-24,,FALSE,draft
blood-thinners,Blood Thinners - Buy Online at Best Price | PharmEasy,"Browse 23 blood thinners on PharmEasy. Medicines that affect how blood clots. Compare packs, compositions and prices. 100% genuine medicines.","Medicines used in the management of clotting risk. These require care with dosing, monitoring and any other medicine taken alongside.",About Blood Thinners,"Blood thinners reduce the tendency of blood to clot. Some need regular blood tests to keep the effect in a safe range; others do not, but all of them raise the importance of consistency and of telling every clinician you see.

Everyone involved in your care – including dentists and surgeons – needs to know you take a blood thinner, ideally before any procedure is scheduled.",Sub-classes you will find here,"Within this class you will find Anti-Platelet, Haemostatics and Anti-Coagulant. Two medicines from different sub-classes are not alternatives to each other.",Prescription and dosage,"Medicines in this class are prescription-only unless the pack states otherwise. Always order the exact strength and dosage form written on your prescription, and continue any monitoring your doctor has advised.","Tell every doctor, dentist and pharmacist that you take a blood thinner. Report unusual bruising or bleeding promptly.
**Do not self-medicate.** Use medicines only as advised by a qualified doctor.
**Check the strength and dosage form** on your prescription before ordering.
**Tell your doctor about allergies** and about every other medicine or supplement you take.
**Do not stop a prescribed medicine** without medical advice, even if you feel better.",,,,2026-07-24,2026-07-24,,FALSE,draft
bone-and-joint-medicines,Bone and Joint Medicines - Buy Online at Best Price | PharmEasy,"Browse 29 bone and joint medicines on PharmEasy. Medicines used for bone, joint and arthritis concerns. Compare packs, compositions and prices. 100% genuine m","Medicines used in the management of bone and joint conditions, including osteoarthritis, osteoporosis and rheumatoid arthritis.",About Bone and Joint Medicines,"This class covers medicines used in the management of joint pain and stiffness, and those used to support bone strength. They range from symptomatic relief to medicines that act on the disease process itself.

Medicines for osteoporosis often come with specific instructions about how and when to take them – upright, with water, away from food. These instructions are part of how the medicine works, not general advice.",Sub-classes you will find here,"Within this class you will find Rheumatoid Arthritis, Osteoarthritis and Osteoporosis. Two medicines from different sub-classes are not alternatives to each other.",Prescription and dosage,"Medicines in this class are prescription-only unless the pack states otherwise. Always order the exact strength and dosage form written on your prescription, and continue any monitoring your doctor has advised.","Follow the specific dosing instructions for bone medicines exactly, and keep any monitoring your doctor has scheduled.
**Do not self-medicate.** Use medicines only as advised by a qualified doctor.
**Check the strength and dosage form** on your prescription before ordering.
**Tell your doctor about allergies** and about every other medicine or supplement you take.
**Do not stop a prescribed medicine** without medical advice, even if you feel better.",,,,2026-07-24,2026-07-24,,FALSE,draft
cancer-medicines,Cancer Medicines - Buy Online at Best Price | PharmEasy,"Browse 219 cancer medicines on PharmEasy. Medicines used in cancer treatment under specialist supervision. Compare packs, compositions and prices. 100% genuin","Medicines used in the treatment of cancer, prescribed and monitored by an oncologist. This class includes several very different groups, and nothing here is suitable for self-selection.",About Cancer Medicines,"Cancer medicines are used as part of a treatment plan designed and supervised by an oncologist. The class spans targeted therapies, monoclonal antibodies, cytotoxic agents and hormonal therapies, which differ completely in how they are given, monitored and dosed.

Dosing in this class is frequently calculated from body weight, body surface area or laboratory results, and can change between cycles. The pack strength alone does not tell you the dose.",Sub-classes you will find here,"Within this class you will find Hormonal therapies, Neutropenia, Anti-Neoplastic, Targeted kinase inhibitors, Mitotic inhibitors, Alkylating and platinum agents and Monoclonal antibodies. Two medicines from different sub-classes are not alternatives to each other.",Prescription and dosage,"Medicines in this class are prescription-only unless the pack states otherwise. Always order the exact strength and dosage form written on your prescription, and continue any monitoring your doctor has advised.","These medicines require specialist supervision and regular monitoring. Never alter a cycle, dose or schedule without your oncologist.
**Do not self-medicate.** Use medicines only as advised by a qualified doctor.
**Check the strength and dosage form** on your prescription before ordering.
**Tell your doctor about allergies** and about every other medicine or supplement you take.
**Do not stop a prescribed medicine** without medical advice, even if you feel better.",,,,2026-07-24,2026-07-24,,FALSE,draft
