class_id,slug,class_name,h1_override,short_desc,icon,is_popular,popular_rank,rx_required,parent_class_id,sub_classes,related_class_ids,synonyms,catalogue_count_override,status,redirect_to,sitemap_priority,conditions,category
anti-allergic-medicines,anti-allergic-medicines,Anti-allergic Medicines,,Medicines used for allergy-related symptoms,allergy,FALSE,,TRUE,,,,,41,live,,0.8,allergy|allergic|itching|rash|hives|skin allergy|dust allergy|watery eyes,Allergy care
anti-diabetic-medicines,anti-diabetic-medicines,Anti-diabetic Medicines,,Medicines used in the management of diabetes,droplet,TRUE,1,TRUE,,Combinations|GLP-1 receptor agonists|DPP-4 inhibitors|Sulfonylureas|Biguanides|Alpha-glucosidase inhibitors|Thiazolidinediones|SGLT2 inhibitors|Other|Diabetic Neuropathy|Meglitinides|Insulins,,,128,live,,0.9,diabetes|sugar|blood sugar|high sugar|diabetic|sugar control,Diabetes care
antibiotics,antibiotics,Antibiotics,,Medicines used for certain bacterial infections,shield,TRUE,4,TRUE,,Cephalosporins|Penicillins|Macrolides|Other|Combinations|Fluoroquinolones|Topical Antibiotic|Antiseptic|Otic Antimicrobial|Topical Anti-Microbial|Carbapenems,,,73,live,,0.9,infection|bacterial infection|uti|urine infection|wound infection|throat infection|antibiotic,Infection care
antifungal-medicines,antifungal-medicines,Antifungal Medicines,,Medicines used for fungal infections,spore,FALSE,,TRUE,,Other|Topical Anti-Fungal|Topical Anti-Fungal and Steroid,,,15,live,,0.8,fungal|ringworm|athletes foot|nail fungus|fungal infection|itching between toes,Infection care
antiviral-medicines,antiviral-medicines,Antiviral Medicines,,Medicines used for certain viral infections,virus,FALSE,,TRUE,,Hepatitis B|Anti-Retroviral|Other,,,8,live,,0.8,viral|viral infection|hiv|hepatitis b|antiviral,Infection care
blood-pressure-medicines,blood-pressure-medicines,Blood Pressure Medicines,,Medicines used to manage high or low blood pressure,pulse,TRUE,2,TRUE,,Combinations|Angiotensin receptor blockers|Beta blockers|Calcium channel blockers|ACE inhibitors|Anti-Hypertensive|Alpha blockers|Diuretic combinations|Anti-Hypotensive,,,123,live,,0.9,bp|blood pressure|high bp|hypertension|high blood pressure|low bp,Heart health
blood-thinners,blood-thinners,Blood Thinners,,Medicines that affect how blood clots,drop-slash,FALSE,,TRUE,,Anti-Platelet|Anti-Coagulant|Haemostatics,,,23,live,,0.8,blood thinner|clot|blood clot|stroke prevention|dvt,Blood health
bone-and-joint-medicines,bone-and-joint-medicines,Bone and Joint Medicines,,"Medicines used for bone, joint and arthritis concerns",bone,FALSE,,TRUE,,Osteoarthritis|Osteoporosis|Rheumatoid Arthritis,,,29,live,,0.8,arthritis|knee pain|osteoporosis|bone weakness|joint stiffness|rheumatoid|osteoarthritis|bone,Bone health
cancer-medicines,cancer-medicines,Cancer Medicines,,Medicines used in cancer treatment under specialist supervision,ribbon,FALSE,,TRUE,,Monoclonal antibodies|Mitotic inhibitors|Alkylating and platinum agents|Hormonal therapies|Anti-Neoplastic|Neutropenia|Targeted kinase inhibitors,,,219,live,,0.8,cancer|tumour|tumor|chemotherapy|oncology|carcinoma,Cancer care
cardiac-medicines,cardiac-medicines,Cardiac Medicines,,Medicines used in the management of heart health,heart,TRUE,5,TRUE,,Anti-Anginal|Congestive Heart Failure|Varicose Veins|Vasodilating Agent,,,35,live,,0.9,heart|heart problem|chest pain|angina|heart failure|palpitation|cardiac,Heart health
